freq_kHz,level_dBuV
30.6658,7.18
30.7654,9.52
30.8649,14.54
30.9645,22.93
31.064,33.37
31.1636,42.13
31.2631,44.93
31.3627,40.25
31.4622,30.59
31.5618,20.41
31.6613,12.90
31.7609,8.69
31.8604,7.28
31.96,6.22
32.0595,6.05
32.1591,7.57
32.2586,6.43
32.3582,6.43
32.4577,6.00
32.5573,6.00
32.6568,7.78
32.7564,7.27
32.8559,6.72
32.9555,6.00
33.055,8.48
33.1546,6.00
33.2541,6.77
33.3537,8.55
33.4532,6.00
33.5528,6.45
33.6523,6.00
33.7519,6.59
33.8514,6.00
33.951,6.85
34.0505,6.00
34.1501,6.00
34.2496,7.28
34.3492,6.00
34.4487,7.33
34.5483,6.59
34.6478,6.00
34.7474,6.14
34.8469,6.00
34.9465,6.67
35.046,6.00
35.1456,6.00
35.2451,6.41
35.3447,6.00
35.4442,6.00
35.5438,6.00
35.6433,6.00
35.7429,6.87
35.8424,6.00
35.942,6.00
36.0415,6.51
36.1411,7.09
36.2406,6.22
36.3402,7.59
36.4397,6.80
36.5393,7.39
36.6388,6.00
36.7384,6.40
36.8379,6.00
36.9375,6.29
37.037,7.18
37.1366,6.88
37.2361,7.01
37.3357,7.42
37.4352,6.48
37.5348,7.91
37.6343,6.00
37.7339,6.00
37.8334,7.02
37.933,8.24
38.0325,6.73
38.1321,6.16
38.2316,6.42
38.3312,6.53
38.4307,6.00
38.5303,6.11
38.6298,6.00
38.7294,8.06
38.8289,6.50
38.9285,6.34
39.028,6.00
39.1276,6.17
39.2271,6.00
39.3267,6.89
39.4262,6.00
39.5258,6.00
39.6253,6.00
39.7249,6.00
39.8244,7.89
39.924,6.59
40.0235,7.36
40.1231,6.00
40.2226,6.74
40.3222,6.16
40.4217,7.72
40.5213,6.00
40.6208,6.50
40.7204,6.37
40.8199,8.28
40.9195,6.22
41.019,9.25
41.1186,7.90
41.2181,6.00
41.3177,6.00
41.4172,6.74
41.5168,6.00
41.6163,6.00
41.7159,7.01
41.8154,6.42
41.915,7.64
42.0145,7.09
42.1141,6.00
42.2136,6.00
42.3132,6.54
42.4127,6.00
42.5123,6.00
42.6118,6.00
42.7114,6.00
42.8109,6.21
42.9105,6.00
43.01,6.00
43.1096,6.14
43.2091,6.00
43.3087,6.00
43.4082,6.00
43.5078,9.20
43.6073,6.00
43.7069,8.09
43.8064,6.00
43.906,8.00
44.0055,6.00
44.1051,6.00
44.2046,7.57
44.3042,7.77
44.4037,6.00
44.5033,7.28
44.6028,7.01
44.7024,6.00
44.8019,7.55
44.9015,6.63
45.001,7.46
45.1006,6.00
45.2001,6.00
45.2996,7.01
45.3992,6.94
45.4987,6.00
45.5983,6.58
45.6978,6.56
45.7974,6.00
45.8969,6.00
45.9965,7.88
46.096,6.59
46.1956,7.63
46.2951,6.00
46.3947,6.00
46.4942,6.00
46.5938,7.06
46.6933,6.00
46.7929,6.13
46.8924,6.00
46.992,6.00
47.0915,7.52
47.1911,6.00
47.2906,6.00
47.3902,7.38
47.4897,6.00
47.5893,8.45
47.6888,6.60
47.7884,7.96
47.8879,9.19
47.9875,6.92
48.087,6.22
48.1866,6.40
48.2861,6.20
48.3857,8.08
48.4852,6.00
48.5848,6.00
48.6843,6.00
48.7839,6.91
48.8834,6.03
48.983,6.00
49.0825,6.00
49.1821,6.79
49.2816,6.52
49.3812,6.51
49.4807,6.05
49.5803,6.00
49.6798,7.42
49.7794,6.00
49.8789,6.26
49.9785,6.00
50.078,6.00
50.1776,9.04
50.2771,6.00
50.3767,8.38
50.4762,6.00
50.5758,6.00
50.6753,6.80
50.7749,6.78
50.8744,6.64
50.974,6.00
51.0735,6.00
51.1731,6.62
51.2726,6.00
51.3722,6.00
51.4717,6.94
51.5713,7.21
51.6708,6.00
51.7704,6.00
51.8699,6.00
51.9695,6.66
52.069,6.00
52.1686,7.05
52.2681,7.70
52.3677,6.29
52.4672,6.00
52.5668,6.36
52.6663,6.00
52.7659,6.81
52.8654,6.00
52.965,6.67
53.0645,6.00
53.1641,6.00
53.2636,7.17
53.3632,6.00
53.4627,6.00
53.5623,6.00
53.6618,6.00
53.7614,6.00
53.8609,6.00
53.9605,7.42
54.06,7.07
54.1596,7.82
54.2591,7.53
54.3587,8.52
54.4582,6.00
54.5578,6.00
54.6573,6.61
54.7569,8.37
54.8564,6.09
54.956,6.00
55.0555,6.34
55.1551,6.00
55.2546,6.11
55.3542,6.00
55.4537,6.54
55.5533,9.35
55.6528,6.00
55.7524,8.49
55.8519,6.91
55.9515,6.00
56.051,7.25
56.1506,6.00
56.2501,6.83
56.3497,6.91
56.4492,6.02
56.5488,6.00
56.6483,6.64
56.7479,6.00
56.8474,6.00
56.947,6.40
57.0465,6.88
57.1461,6.00
57.2456,6.00
57.3452,6.72
57.4447,9.17
57.5443,6.00
57.6438,6.00
57.7434,7.26
57.8429,6.00
57.9425,6.86
58.042,6.00
58.1416,6.00
58.2411,6.23
58.3407,6.90
58.4402,6.00
58.5398,6.00
58.6393,6.00
58.7389,6.00
58.8384,6.89
58.938,7.22
59.0375,6.61
59.1371,6.00
59.2366,6.00
59.3362,6.00
59.4357,6.14
59.5353,6.86
59.6348,8.01
59.7344,6.00
59.8339,6.00
59.9335,6.00
60.033,6.00
60.1326,6.00
60.2321,6.00
60.3317,6.38
60.4312,6.63
60.5308,6.00
60.6303,6.00
60.7299,6.27
60.8294,6.03
60.929,6.06
61.0285,7.09
61.1281,6.29
61.2276,6.57
61.3272,7.06
61.4267,7.89
61.5263,9.18
61.6258,11.09
61.7254,13.75
61.8249,17.21
61.9245,21.42
62.024,26.16
62.1236,31.05
62.2231,35.58
62.3227,39.22
62.4222,41.45
62.5218,41.96
62.6213,40.67
62.7209,37.77
62.8204,33.68
62.92,28.92
63.0195,24.04
63.1191,19.50
63.2186,15.60
63.3182,12.49
63.4177,10.17
63.5173,8.55
63.6168,7.48
63.7164,6.82
63.8159,6.43
63.9155,6.21
64.015,6.10
64.1146,6.81
64.2141,6.02
64.3137,6.54
64.4132,7.03
64.5128,6.55
64.6123,6.00
64.7119,6.00
64.8114,6.24
64.911,6.00
65.0105,6.41
65.1101,6.00
65.2096,6.00
65.3092,6.00
65.4087,6.36
65.5083,6.00
65.6078,6.00
65.7074,6.00
65.8069,6.23
65.9065,6.00
66.006,7.05
66.1056,7.09
66.2051,7.88
66.3047,6.34
66.4042,6.96
66.5038,7.11
66.6033,6.62
66.7029,6.00
66.8024,8.19
66.902,6.00
67.0015,6.12
67.1011,6.10
67.2006,6.00
67.3002,6.03
67.3997,6.44
67.4992,6.00
67.5988,6.56
67.6983,7.47
67.7979,6.00
67.8974,6.90
67.997,6.00
68.0965,6.00
68.1961,6.00
68.2956,6.00
68.3952,6.00
68.4947,6.75
68.5943,6.00
68.6938,6.20
68.7934,6.74
68.8929,6.00
68.9925,6.70
69.092,6.00
69.1916,6.00
69.2911,6.00
69.3907,6.02
69.4902,6.66
69.5898,6.45
69.6893,6.64
69.7889,7.20
69.8884,6.43
69.988,6.00
70.0875,6.00
70.1871,6.00
70.2866,6.00
70.3862,6.58
70.4857,7.01
70.5853,6.30
70.6848,6.26
70.7844,6.00
70.8839,7.52
70.9835,7.73
71.083,7.44
71.1826,6.00
71.2821,6.00
71.3817,6.00
71.4812,6.00
71.5808,8.06
71.6803,6.00
71.7799,6.00
71.8794,6.00
71.979,6.00
72.0785,6.92
72.1781,6.12
72.2776,6.59
72.3772,6.22
72.4767,6.00
72.5763,6.00
72.6758,6.14
72.7754,6.76
72.8749,6.00
72.9745,6.00
73.074,6.05
73.1736,6.00
73.2731,7.64
73.3727,6.80
73.4722,6.00
73.5718,6.00
73.6713,6.18
73.7709,6.11
73.8704,7.05
73.97,6.19
74.0695,6.14
74.1691,6.00
74.2686,6.00
74.3682,6.75
74.4677,8.07
74.5673,6.00
74.6668,6.03
74.7664,6.00
74.8659,6.93
74.9655,6.00
75.065,6.17
75.1646,6.00
75.2641,6.00
75.3637,7.01
75.4632,6.53
75.5628,6.00
75.6623,6.00
75.7619,6.54
75.8614,7.87
75.961,6.00
76.0605,6.70
76.1601,6.00
76.2596,6.53
76.3592,6.00
76.4587,6.00
76.5583,6.00
76.6578,7.57
76.7574,6.00
76.8569,6.00
76.9565,6.00
77.056,6.00
77.1556,8.32
77.2551,6.04
77.3547,6.00
77.4542,6.06
77.5538,6.63
77.6533,6.53
77.7529,6.00
77.8524,6.00
77.952,6.00
78.0515,6.00
78.1511,6.00
78.2506,6.15
78.3502,6.00
78.4497,6.36
78.5493,6.00
78.6488,8.05
78.7484,6.00
78.8479,6.78
78.9475,6.46
79.047,7.86
79.1466,7.64
79.2461,6.00
79.3457,8.56
79.4452,6.18
79.5448,6.04
79.6443,6.00
79.7439,8.46
79.8434,6.00
79.943,8.68
80.0425,6.00
80.1421,6.06
80.2416,6.00
80.3412,6.00
80.4407,6.00
80.5403,7.76
80.6398,7.71
80.7394,7.75
80.8389,8.15
80.9385,6.00
81.038,6.00
81.1376,6.90
81.2371,6.00
81.3367,6.00
81.4362,6.06
81.5358,6.00
81.6353,6.00
81.7349,6.00
81.8344,6.00
81.934,6.00
82.0335,7.01
82.1331,6.26
82.2326,7.89
82.3322,6.00
82.4317,6.00
82.5313,6.00
82.6308,6.00
82.7304,6.00
82.8299,6.00
82.9295,6.00
83.029,7.71
83.1286,6.00
83.2281,6.00
83.3277,7.08
83.4272,6.00
83.5268,6.00
83.6263,8.05
83.7259,6.00
83.8254,6.00
83.925,6.76
84.0245,6.59
84.1241,6.00
84.2236,6.00
84.3232,6.73
84.4227,8.08
84.5223,6.00
84.6218,6.64
84.7214,6.00
84.8209,6.00
84.9205,6.20
85.02,6.95
85.1196,6.00
85.2191,6.09
85.3187,6.50
85.4182,6.00
85.5178,7.51
85.6173,6.00
85.7169,6.67
85.8164,9.57
85.916,7.78
86.0155,6.02
86.1151,6.00
86.2146,6.00
86.3142,6.06
86.4137,7.47
86.5133,6.56
86.6128,6.00
86.7124,6.38
86.8119,6.01
86.9115,6.21
87.011,6.00
87.1106,6.00
87.2101,6.00
87.3097,6.12
87.4092,6.00
87.5088,6.11
87.6083,6.00
87.7079,6.00
87.8074,6.00
87.907,7.53
88.0065,6.00
88.1061,8.04
88.2056,6.55
88.3052,6.02
88.4047,6.00
88.5043,6.45
88.6038,6.00
88.7034,7.03
88.8029,7.14
88.9025,6.00
89.002,6.00
89.1016,6.00
89.2011,6.00
89.3007,6.00
89.4002,6.00
89.4997,6.00
89.5993,7.37
89.6988,7.28
89.7984,7.77
89.8979,6.72
89.9975,6.10
90.097,6.26
90.1966,6.00
90.2961,7.12
90.3957,6.97
90.4952,6.33
90.5948,7.12
90.6943,7.43
90.7939,6.00
90.8934,7.29
90.993,7.97
91.0925,7.04
91.1921,6.00
91.2916,6.00
91.3912,8.99
91.4907,7.32
91.5903,7.11
91.6898,6.27
91.7894,6.00
91.8889,6.01
91.9885,6.00
92.088,6.00
92.1876,6.77
92.2871,6.59
92.3867,6.00
92.4862,6.20
92.5858,6.00
92.6853,6.00
92.7849,6.00
92.8844,6.36
92.984,6.48
93.0835,6.00
93.1831,6.00
93.2826,6.00
93.3822,6.00
93.4817,6.00
93.5813,6.00
93.6808,6.00
93.7804,6.53
93.8799,6.00
93.9795,6.00
94.079,6.00
94.1786,6.00
94.2781,6.00
94.3777,6.00
94.4772,7.06
94.5768,7.80
94.6763,7.73
94.7759,6.00
94.8754,6.11
94.975,6.00
95.0745,6.00
95.1741,6.00
95.2736,6.00
95.3732,6.05
95.4727,7.17
95.5723,6.00
95.6718,6.00
95.7714,6.00
95.8709,6.00
95.9705,6.00
96.07,6.00
96.1696,7.54
96.2691,6.01
96.3687,6.42
96.4682,6.99
96.5678,6.00
96.6673,7.46
96.7669,6.00
96.8664,7.12
96.966,6.00
97.0655,6.00
97.1651,7.39
97.2646,6.00
97.3642,6.33
97.4637,6.00
97.5633,6.00
97.6628,6.00
97.7624,6.00
97.8619,6.00
97.9615,6.00
98.061,6.00
98.1606,6.00
98.2601,6.18
98.3597,6.00
98.4592,6.00
98.5588,6.09
98.6583,6.00
98.7579,7.40
98.8574,6.00
98.957,6.00
99.0565,6.72
99.1561,6.00
99.2556,6.97
99.3552,6.00
99.4547,7.73
99.5543,6.31
99.6538,6.43
99.7534,6.00
99.8529,6.00
99.9525,6.10
100.052,6.29
100.152,7.43
100.251,6.23
100.351,6.71
100.45,6.12
100.55,6.00
100.649,7.23
100.749,6.00
100.848,6.00
100.948,6.00
101.048,7.50
101.147,6.00
101.247,6.15
101.346,6.32
101.446,6.00
101.545,6.00
101.645,6.62
101.744,6.43
101.844,6.00
101.943,8.30
102.043,7.02
102.143,6.00
102.242,8.17
102.342,6.00
102.441,6.00
102.541,6.00
102.64,6.00
102.74,6.41
102.839,7.22
102.939,8.34
103.039,8.33
103.138,6.00
103.238,6.00
103.337,6.00
103.437,7.52
103.536,6.00
103.636,7.08
103.735,6.00
103.835,7.09
103.934,6.00
104.034,7.37
104.134,6.00
104.233,6.92
104.333,8.60
104.432,6.91
104.532,6.00
104.631,6.00
104.731,6.42
104.83,6.84
104.93,6.23
105.03,6.74
105.129,6.00
105.229,6.49
105.328,6.00
105.428,6.00
105.527,6.00
105.627,6.98
105.726,6.00
105.826,8.43
105.925,8.01
106.025,6.00
106.125,7.38
106.224,7.94
106.324,6.98
106.423,6.00
106.523,8.52
106.622,6.38
106.722,6.70
106.821,6.92
106.921,6.50
107.021,6.00
107.12,6.69
107.22,7.35
107.319,6.58
107.419,7.11
107.518,6.00
107.618,6.00
107.717,6.00
107.817,6.00
107.916,6.00
108.016,6.00
108.116,6.67
108.215,6.00
108.315,7.07
108.414,6.00
108.514,6.00
108.613,6.00
108.713,9.76
108.812,6.83
108.912,7.81
109.012,6.00
109.111,6.00
109.211,6.49
109.31,6.02
109.41,6.00
109.509,6.00
109.609,8.99
109.708,7.83
109.808,6.00
109.907,6.00
110.007,6.00
110.107,9.22
110.206,6.00
110.306,6.49
110.405,6.00
110.505,6.00
110.604,6.36
110.704,6.59
110.803,7.10
110.903,7.53
111.003,6.00
111.102,7.99
111.202,6.08
111.301,6.00
111.401,6.00
111.5,6.00
111.6,7.90
111.699,6.19
111.799,6.00
111.898,6.67
111.998,7.35
112.098,7.31
112.197,7.07
112.297,6.22
112.396,8.83
112.496,6.47
112.595,6.00
112.695,9.49
112.794,6.82
112.894,6.00
112.993,6.00
113.093,6.00
113.193,6.73
113.292,6.86
113.392,6.00
113.491,6.00
113.591,6.57
113.69,6.39
113.79,7.81
113.889,8.36
113.989,6.00
114.089,6.00
114.188,6.00
114.288,6.00
114.387,8.95
114.487,7.13
114.586,6.13
114.686,6.00
114.785,6.00
114.885,7.95
114.984,7.02
115.084,6.00
115.184,7.14
115.283,7.30
115.383,6.00
115.482,6.56
115.582,6.62
115.681,7.00
115.781,6.00
115.88,6.04
115.98,6.00
116.08,6.45
116.179,6.00
116.279,6.90
116.378,6.00
116.478,6.70
116.577,8.75
116.677,6.16
116.776,6.12
116.876,7.47
116.975,6.00
117.075,6.00
117.175,6.86
117.274,7.35
117.374,6.00
117.473,6.07
117.573,7.45
117.672,8.56
117.772,6.00
117.871,6.00
117.971,6.00
118.071,6.00
118.17,7.44
118.27,6.00
118.369,6.39
118.469,6.00
118.568,6.32
118.668,8.28
118.767,6.00
118.867,6.95
118.966,6.00
119.066,6.00
119.166,7.72
119.265,7.45
119.365,6.00
119.464,6.48
119.564,6.00
119.663,7.13
119.763,6.00
119.862,6.32
119.962,6.00
120.062,6.98
120.161,6.87
120.261,7.44
120.36,6.00
120.46,6.00
120.559,6.21
120.659,8.34
120.758,6.00
120.858,6.00
120.957,6.27
121.057,6.00
121.157,6.00
121.256,6.55
121.356,6.01
121.455,6.70
121.555,6.02
121.654,7.13
121.754,6.53
121.853,6.06
121.953,6.09
122.053,7.51
122.152,6.18
122.252,7.29
122.351,8.05
122.451,6.52
122.55,6.71
122.65,6.96
122.749,7.29
122.849,7.71
122.948,8.23
123.048,8.88
123.148,9.67
123.247,10.62
123.347,11.74
123.446,13.04
123.546,14.53
123.645,16.20
123.745,18.04
123.844,20.04
123.944,22.16
124.044,24.38
124.143,26.63
124.243,28.86
124.342,31.02
124.442,33.03
124.541,34.84
124.641,36.38
124.74,37.61
124.84,38.46
124.939,38.92
125.039,38.97
125.139,38.60
125.238,37.82
125.338,36.68
125.437,35.20
125.537,33.44
125.636,31.47
125.736,29.33
125.835,27.11
125.935,24.86
126.035,22.64
126.134,20.49
126.234,18.46
126.333,16.58
126.433,14.87
126.532,13.34
126.632,12.00
126.731,10.85
126.831,9.86
126.93,9.04
127.03,8.36
127.13,7.81
127.229,7.37
127.329,7.03
127.428,6.76
127.528,6.55
127.627,7.61
127.727,6.28
127.826,6.20
127.926,6.53
128.026,8.50
128.125,6.06
128.225,6.57
128.324,6.03
128.424,6.02
128.523,6.92
128.623,6.01
128.722,6.00
128.822,6.00
128.921,6.73
129.021,6.00
129.121,6.00
129.22,6.00
129.32,6.00
129.419,6.00
129.519,6.00
129.618,6.89
129.718,8.39
129.817,7.19
129.917,6.00
130.017,7.54
130.116,6.00
130.216,6.00
130.315,6.70
130.415,6.61
130.514,6.35
130.614,6.00
130.713,6.03
130.813,6.00
130.912,7.33
131.012,6.00
131.112,6.00
131.211,6.00
131.311,6.00
131.41,6.00
131.51,6.00
131.609,6.00
131.709,7.36
131.808,6.00
131.908,7.48
132.008,8.46
132.107,6.00
132.207,8.49
132.306,6.00
132.406,6.00
132.505,6.00
132.605,6.00
132.704,6.66
132.804,6.00
132.903,6.00
133.003,6.00
133.103,6.00
133.202,7.14
133.302,6.48
133.401,6.00
133.501,6.00
133.6,6.02
133.7,6.00
133.799,6.00
133.899,6.06
133.998,6.00
134.098,6.00
134.198,6.00
134.297,6.00
134.397,7.10
134.496,6.00
134.596,6.00
134.695,6.00
134.795,6.55
134.894,6.00
134.994,6.00
135.094,6.00
135.193,6.81
135.293,7.39
135.392,6.18
135.492,6.00
135.591,8.88
135.691,6.00
135.79,6.95
135.89,6.15
135.989,6.00
136.089,6.00
136.189,6.00
136.288,6.27
136.388,6.00
136.487,6.62
136.587,6.79
136.686,6.00
136.786,7.19
136.885,7.14
136.985,6.00
137.085,7.27
137.184,6.00
137.284,6.00
137.383,6.00
137.483,6.00
137.582,6.00
137.682,6.00
137.781,6.00
137.881,6.00
137.98,6.00
138.08,6.00
138.18,6.00
138.279,6.00
138.379,6.00
138.478,6.00
138.578,7.13
138.677,6.32
138.777,6.99
138.876,6.00
138.976,6.81
139.076,6.00
139.175,6.00
139.275,6.00
139.374,6.17
139.474,7.37
139.573,6.00
139.673,6.00
139.772,6.19
139.872,7.25
139.971,6.00
140.071,7.36
140.171,7.62
140.27,7.62
140.37,7.44
140.469,6.29
140.569,8.65
140.668,6.85
140.768,6.00
140.867,7.31
140.967,7.46
141.067,6.15
141.166,8.32
141.266,6.69
141.365,6.67
141.465,6.88
141.564,6.67
141.664,6.94
141.763,6.93
141.863,6.00
141.962,6.00
142.062,6.10
142.162,6.00
142.261,7.11
142.361,6.00
142.46,6.00
142.56,6.13
142.659,6.00
142.759,6.00
142.858,7.63
142.958,8.36
143.058,8.10
143.157,7.32
143.257,6.00
143.356,6.00
143.456,7.27
143.555,6.00
143.655,6.14
143.754,6.13
143.854,7.96
143.953,7.66
144.053,6.03
144.153,6.28
144.252,6.34
144.352,6.34
144.451,6.00
144.551,6.00
144.65,6.76
144.75,6.00
144.849,6.04
144.949,6.51
145.049,7.96
145.148,6.00
145.248,6.00
145.347,6.00
145.447,6.00
145.546,6.42
145.646,7.10
145.745,6.00
145.845,6.97
145.944,6.00
146.044,6.00
146.144,7.81
146.243,6.62
146.343,8.74
146.442,6.90
146.542,6.00
146.641,6.85
146.741,6.32
146.84,6.04
146.94,6.00
147.04,6.89
147.139,6.00
147.239,6.00
147.338,6.26
147.438,9.17
147.537,6.00
147.637,6.18
147.736,6.00
147.836,6.45
147.935,6.00
148.035,6.00
148.135,6.07
148.234,6.69
148.334,6.53
148.433,6.00
148.533,7.01
148.632,6.25
148.732,6.98
148.831,6.71
148.931,6.00
149.031,9.71
149.13,6.39
149.23,7.77
149.329,8.99
149.429,6.00
149.528,7.14
149.628,6.71
149.727,6.00
149.827,6.00
149.926,7.53
150.026,6.17
150.126,7.41
150.225,6.00
150.325,6.00
150.424,6.00
150.524,6.00
150.623,6.00
150.723,7.14
150.822,6.00
150.922,6.48
151.022,6.00
151.121,7.22
151.221,6.54
151.32,7.97
151.42,6.00
151.519,6.17
151.619,6.00
151.718,7.98
151.818,6.00
151.917,6.00
152.017,7.33
152.117,7.41
152.216,6.00
152.316,7.09
152.415,9.34
152.515,6.57
152.614,6.62
152.714,6.00
152.813,6.28
152.913,6.12
153.013,6.00
153.112,6.00
153.212,6.00
153.311,6.00
153.411,6.94
153.51,6.50
153.61,7.26
153.709,6.00
153.809,6.00
153.908,6.00
154.008,8.24
154.108,6.00
154.207,6.00
154.307,6.00
154.406,7.77
154.506,6.00
154.605,6.06
154.705,6.00
154.804,6.00
154.904,6.00
155.004,7.88
155.103,6.44
155.203,6.77
155.302,6.00
155.402,6.71
155.501,7.10
155.601,6.65
155.7,6.00
155.8,6.00
155.899,6.00
155.999,6.00
156.099,6.05
156.198,6.70
156.298,6.15
156.397,7.52
156.497,8.19
156.596,6.51
156.696,6.00
156.795,6.04
156.895,6.00
156.994,6.33
157.094,7.66
157.194,7.92
157.293,6.78
157.393,6.00
157.492,6.00
157.592,7.20
157.691,6.00
157.791,6.00
157.89,6.00
157.99,6.00
158.09,6.00
158.189,6.00
158.289,7.78
158.388,6.00
158.488,6.78
158.587,6.00
158.687,6.08
158.786,6.00
158.886,6.19
158.985,6.00
159.085,6.00
159.185,6.00
159.284,6.00
159.384,6.00
159.483,6.43
159.583,6.76
159.682,6.69
159.782,6.00
159.881,6.74
159.981,6.00
160.081,6.00
160.18,6.45
160.28,6.00
160.379,6.00
160.479,7.54
160.578,6.00
160.678,6.00
160.777,6.01
160.877,6.94
160.976,6.00
161.076,6.02
161.176,6.63
161.275,6.00
161.375,6.00
161.474,6.20
161.574,6.00
161.673,6.51
161.773,6.00
161.872,6.85
161.972,6.19
162.072,6.84
162.171,6.49
162.271,6.00
162.37,6.50
162.47,6.66
162.569,6.08
162.669,7.98
162.768,8.15
162.868,6.00
162.967,6.00
163.067,6.00
163.167,8.06
163.266,7.70
163.366,6.22
163.465,6.00
