freq_MHz,level_dBuV
253.212,8.60
253.697,8.00
254.182,8.00
254.667,8.00
255.153,8.00
255.638,8.79
256.123,8.00
256.608,8.03
257.094,8.18
257.579,8.40
258.064,9.81
258.549,8.44
259.035,8.00
259.52,8.00
260.005,8.00
260.49,8.00
260.975,8.00
261.461,8.00
261.946,8.58
262.431,8.00
262.916,10.41
263.402,8.00
263.887,8.16
264.372,8.00
264.857,8.28
265.343,8.00
265.828,8.00
266.313,8.00
266.798,8.00
267.284,8.00
267.769,8.00
268.254,9.02
268.739,8.26
269.225,8.00
269.71,9.36
270.195,8.00
270.68,8.00
271.166,9.38
271.651,8.00
272.136,9.19
272.621,8.00
273.107,9.45
273.592,8.00
274.077,8.00
274.562,8.22
275.048,9.71
275.533,8.81
276.018,8.15
276.503,8.73
276.988,9.31
277.474,8.00
277.959,9.08
278.444,9.03
278.929,9.75
279.415,8.97
279.9,8.05
280.385,8.00
280.87,8.66
281.356,8.00
281.841,8.86
282.326,9.11
282.811,8.68
283.297,8.00
283.782,8.78
284.267,8.00
284.752,8.00
285.238,8.45
285.723,8.94
286.208,8.00
286.693,8.24
287.179,8.00
287.664,10.32
288.149,8.00
288.634,8.23
289.12,8.00
289.605,8.00
290.09,10.30
290.575,10.05
291.061,8.00
291.546,8.00
292.031,8.19
292.516,8.00
293.002,8.00
293.487,8.00
293.972,8.00
294.457,8.00
294.942,8.00
295.428,8.09
295.913,9.18
296.398,8.00
296.883,10.71
297.369,8.00
297.854,9.93
298.339,8.33
298.824,8.00
299.31,8.00
299.795,8.00
300.28,8.80
300.765,8.83
301.251,8.42
301.736,8.00
302.221,8.77
302.706,9.62
303.192,8.00
303.677,8.73
304.162,9.74
304.647,8.00
305.133,8.53
305.618,8.00
306.103,8.38
306.588,8.57
307.074,8.10
307.559,8.52
308.044,8.00
308.529,8.55
309.015,8.00
309.5,8.00
309.985,8.86
310.47,8.00
310.955,8.00
311.441,8.00
311.926,8.43
312.411,8.00
312.896,10.40
313.382,9.28
313.867,8.95
314.352,8.00
314.837,8.00
315.323,9.32
315.808,8.82
316.293,9.10
316.778,8.00
317.264,8.82
317.749,9.46
318.234,8.76
318.719,8.12
319.205,8.00
319.69,9.43
320.175,8.00
320.66,8.19
321.146,10.49
321.631,9.14
322.116,8.91
322.601,8.63
323.087,8.00
323.572,8.22
324.057,8.22
324.542,8.00
325.028,8.39
325.513,9.48
325.998,8.00
326.483,8.03
326.968,8.36
327.454,9.68
327.939,11.06
328.424,16.42
328.909,25.69
329.395,36.36
329.88,42.71
330.365,40.42
330.85,31.11
331.336,20.57
331.821,13.22
332.306,9.65
332.791,8.40
333.277,9.85
333.762,8.86
334.247,9.42
334.732,8.00
335.218,10.41
335.703,8.00
336.188,8.00
336.673,8.50
337.159,8.00
337.644,8.00
338.129,9.59
338.614,8.61
339.1,9.14
339.585,8.00
340.07,8.70
340.555,9.50
341.041,8.00
341.526,10.56
342.011,8.68
342.496,8.00
342.981,8.85
343.467,8.00
343.952,8.00
344.437,8.00
344.922,9.89
345.408,8.00
345.893,8.86
346.378,8.00
346.863,8.00
347.349,9.85
347.834,8.00
348.319,8.00
348.804,8.10
349.29,8.00
349.775,8.22
350.26,8.80
350.745,8.16
351.231,8.72
351.716,8.24
352.201,8.00
352.686,8.00
353.172,8.00
353.657,8.00
354.142,8.00
354.627,8.67
355.113,8.07
355.598,8.05
356.083,8.22
356.568,9.59
357.054,10.69
357.539,8.57
358.024,9.00
358.509,9.69
358.994,8.00
359.48,8.00
359.965,8.06
360.45,8.00
360.935,8.00
361.421,8.00
361.906,8.00
362.391,8.96
362.876,9.14
363.362,8.00
363.847,8.58
364.332,8.00
364.817,8.00
365.303,8.58
365.788,8.00
366.273,9.54
366.758,8.00
367.244,8.68
367.729,8.00
368.214,8.00
368.699,8.00
369.185,8.32
369.67,8.00
370.155,8.00
370.64,8.00
371.126,10.03
371.611,8.56
372.096,8.00
372.581,8.00
373.067,8.00
373.552,9.37
374.037,8.00
374.522,9.26
375.008,9.83
375.493,8.00
375.978,8.00
376.463,8.02
376.948,8.00
377.434,8.00
377.919,10.44
378.404,8.62
378.889,8.00
379.375,8.21
379.86,8.00
380.345,8.00
380.83,8.00
381.316,9.45
381.801,9.14
382.286,9.96
382.771,8.00
383.257,8.30
383.742,8.00
384.227,8.00
384.712,8.80
385.198,8.00
385.683,8.00
386.168,8.00
386.653,9.30
387.139,8.00
387.624,8.00
388.109,8.75
388.594,8.00
389.08,9.29
389.565,9.48
390.05,8.00
390.535,8.00
391.021,8.00
391.506,8.00
391.991,8.56
392.476,8.00
392.961,8.00
393.447,8.04
393.932,8.22
394.417,8.00
394.902,8.37
395.388,8.00
395.873,8.00
396.358,8.82
396.843,8.00
397.329,8.00
397.814,8.00
398.299,8.00
398.784,10.31
399.27,8.39
399.755,8.00
400.24,8.00
400.725,8.21
401.211,9.72
401.696,10.06
402.181,8.00
402.666,8.00
403.152,8.00
403.637,8.73
404.122,8.18
404.607,8.24
405.093,9.01
405.578,8.25
406.063,8.70
406.548,8.00
407.034,9.18
407.519,8.00
408.004,8.84
408.489,8.00
408.974,9.25
409.46,8.00
409.945,8.00
410.43,8.00
410.915,8.67
411.401,8.00
411.886,9.61
412.371,8.00
412.856,8.00
413.342,8.00
413.827,8.66
414.312,8.70
414.797,8.00
415.283,11.34
415.768,9.51
416.253,9.54
416.738,8.00
417.224,8.00
417.709,8.00
418.194,8.46
418.679,8.00
419.165,8.02
419.65,9.03
420.135,8.00
420.62,8.45
421.106,8.00
421.591,8.00
422.076,8.00
422.561,8.00
423.047,8.97
423.532,8.08
424.017,8.00
424.502,8.00
424.987,8.00
425.473,8.01
425.958,8.00
426.443,8.00
426.928,8.00
427.414,8.00
427.899,8.00
428.384,9.61
428.869,10.36
429.355,8.10
429.84,8.00
430.325,8.00
430.81,9.72
431.296,9.84
431.781,8.00
432.266,8.38
432.751,9.52
433.237,8.24
433.722,9.59
434.207,8.00
434.692,9.09
435.178,8.00
435.663,8.00
436.148,10.63
436.633,8.00
437.119,8.00
437.604,9.25
438.089,9.36
438.574,9.12
439.06,8.00
439.545,8.00
440.03,8.25
440.515,8.00
441.001,8.00
441.486,8.99
441.971,8.00
442.456,8.00
442.941,9.30
443.427,8.62
443.912,9.42
444.397,8.00
444.882,10.32
445.368,8.00
445.853,8.00
446.338,8.00
446.823,8.10
447.309,8.00
447.794,8.00
448.279,8.00
448.764,10.08
449.25,8.00
449.735,8.05
450.22,8.00
450.705,8.11
451.191,8.23
451.676,9.70
452.161,8.00
452.646,9.06
453.132,9.42
453.617,8.10
454.102,8.36
454.587,8.00
455.073,8.00
455.558,8.00
456.043,8.08
456.528,8.52
457.014,8.00
457.499,10.19
457.984,8.00
458.469,9.09
458.954,8.27
459.44,8.00
459.925,8.00
460.41,8.85
460.895,8.00
461.381,9.50
461.866,9.30
462.351,8.00
462.836,8.00
463.322,8.00
463.807,8.71
464.292,8.00
464.777,8.62
465.263,9.15
465.748,8.00
466.233,8.00
466.718,8.07
467.204,8.00
467.689,8.00
468.174,8.00
468.659,9.18
469.145,8.00
469.63,8.33
470.115,8.51
470.6,9.16
471.086,8.14
471.571,8.00
472.056,9.73
472.541,8.32
473.027,8.73
473.512,8.00
473.997,8.35
474.482,8.57
474.967,8.18
475.453,8.00
475.938,9.61
476.423,9.48
476.908,8.12
477.394,8.00
477.879,8.00
478.364,8.46
478.849,8.34
479.335,8.35
479.82,8.00
480.305,8.00
480.79,9.28
481.276,8.25
481.761,10.29
482.246,8.06
482.731,9.34
483.217,9.20
483.702,8.95
484.187,8.00
484.672,8.64
485.158,8.00
485.643,8.84
486.128,9.03
486.613,8.00
487.099,8.00
487.584,8.00
488.069,9.64
488.554,8.87
489.04,8.72
489.525,8.02
490.01,8.74
490.495,8.18
490.98,8.55
491.466,9.32
491.951,10.99
492.436,13.98
492.921,18.63
493.407,24.75
493.892,31.40
494.377,36.99
494.862,39.85
495.348,39.03
495.833,34.81
496.318,28.54
496.803,21.96
497.289,16.41
497.774,12.50
498.259,10.13
498.744,8.90
499.23,8.33
499.715,8.11
500.2,8.03
500.685,8.01
501.171,8.40
501.656,8.28
502.141,8.42
502.626,8.00
503.112,8.00
503.597,8.40
504.082,9.12
504.567,8.00
505.053,8.68
505.538,8.00
506.023,9.81
506.508,8.00
506.993,8.00
507.479,8.00
507.964,8.00
508.449,8.00
508.934,8.00
509.42,10.13
509.905,8.00
510.39,8.00
510.875,8.00
511.361,8.93
511.846,8.84
512.331,9.56
512.816,8.00
513.302,8.00
513.787,10.33
514.272,8.00
514.757,8.00
515.243,8.99
515.728,8.24
516.213,8.00
516.698,8.00
517.184,9.56
517.669,8.00
518.154,8.00
518.639,10.17
519.125,8.16
519.61,8.00
520.095,8.00
520.58,8.84
521.066,8.00
521.551,8.00
522.036,8.00
522.521,8.00
523.007,8.00
523.492,8.14
523.977,9.78
524.462,8.33
524.947,8.00
525.433,8.00
525.918,8.61
526.403,9.51
526.888,8.00
527.374,8.00
527.859,8.00
528.344,8.00
528.829,8.72
529.315,8.00
529.8,8.00
530.285,8.00
530.77,8.00
531.256,9.64
531.741,8.00
532.226,8.84
532.711,8.00
533.197,8.00
533.682,8.97
534.167,8.05
534.652,8.00
535.138,8.00
535.623,8.00
536.108,9.40
536.593,9.46
537.079,8.00
537.564,8.00
538.049,8.00
538.534,9.16
539.02,8.05
539.505,8.00
539.99,8.00
540.475,8.00
540.96,9.51
541.446,9.85
541.931,8.00
542.416,9.82
542.901,9.06
543.387,9.80
543.872,8.00
544.357,8.05
544.842,9.88
545.328,8.00
545.813,8.00
546.298,8.00
546.783,8.00
547.269,8.00
547.754,8.00
548.239,8.24
548.724,9.04
549.21,8.00
549.695,8.00
550.18,8.15
550.665,9.94
551.151,8.00
551.636,8.41
552.121,8.00
552.606,8.00
553.092,8.00
553.577,8.00
554.062,8.74
554.547,8.00
555.033,8.00
555.518,8.93
556.003,8.38
556.488,8.00
556.973,8.00
557.459,8.00
557.944,8.57
558.429,8.61
558.914,8.00
559.4,8.00
559.885,8.00
560.37,8.34
560.855,8.95
561.341,8.01
561.826,10.39
562.311,9.22
562.796,8.00
563.282,9.41
563.767,8.47
564.252,9.78
564.737,8.07
565.223,8.85
565.708,9.39
566.193,8.00
566.678,8.28
567.164,8.00
567.649,8.00
568.134,8.07
568.619,8.30
569.105,8.43
569.59,8.66
570.075,9.20
570.56,10.05
571.046,9.84
571.531,8.00
572.016,9.22
572.501,8.55
572.986,8.00
573.472,8.00
573.957,9.08
574.442,8.00
574.927,8.00
575.413,8.00
575.898,8.00
576.383,8.00
576.868,8.00
577.354,8.00
577.839,8.93
578.324,8.79
578.809,8.57
579.295,8.00
579.78,8.48
580.265,9.15
580.75,10.04
581.236,8.02
581.721,8.00
582.206,9.20
582.691,9.10
583.177,11.00
583.662,8.23
584.147,8.00
584.632,8.00
585.118,8.00
585.603,8.00
586.088,8.35
586.573,8.00
587.059,8.00
587.544,8.13
588.029,8.00
588.514,8.00
588.999,8.00
589.485,8.00
589.97,8.00
590.455,8.00
590.94,8.00
591.426,8.00
591.911,9.00
592.396,8.42
592.881,8.00
593.367,8.39
593.852,8.00
594.337,8.00
594.822,8.17
595.308,8.68
595.793,10.42
596.278,11.46
596.763,8.84
597.249,8.90
597.734,8.00
598.219,9.52
598.704,8.00
599.19,8.59
599.675,9.01
600.16,8.00
600.645,10.17
601.131,9.05
601.616,8.03
602.101,8.10
602.586,11.57
603.072,8.00
603.557,8.00
604.042,8.71
604.527,8.00
605.013,8.00
605.498,9.34
605.983,8.53
606.468,8.00
606.953,8.00
607.439,8.92
607.924,8.00
608.409,9.04
608.894,8.00
609.38,8.00
609.865,8.66
610.35,8.65
610.835,8.00
611.321,8.32
611.806,8.00
612.291,8.00
612.776,8.00
613.262,8.40
613.747,9.81
614.232,8.00
614.717,8.00
615.203,8.39
615.688,8.54
616.173,8.00
616.658,8.00
617.144,8.75
617.629,9.36
618.114,8.11
618.599,8.00
619.085,8.00
619.57,8.66
620.055,8.00
620.54,8.34
621.026,9.31
621.511,8.00
621.996,8.00
622.481,8.00
622.966,8.00
623.452,8.53
623.937,8.62
624.422,8.00
624.907,8.00
625.393,8.00
625.878,9.40
626.363,9.77
626.848,8.00
627.334,8.65
627.819,8.00
628.304,8.00
628.789,10.65
629.275,8.00
629.76,8.00
630.245,8.77
630.73,8.00
631.216,8.00
631.701,8.40
632.186,8.00
632.671,8.00
633.157,9.68
633.642,8.22
634.127,8.54
634.612,8.20
635.098,8.00
635.583,10.95
636.068,8.00
636.553,8.38
637.039,8.00
637.524,8.51
638.009,8.81
638.494,8.00
638.979,8.00
639.465,8.00
639.95,8.96
640.435,9.16
640.92,8.00
641.406,10.60
641.891,8.37
642.376,9.13
642.861,8.00
643.347,9.36
643.832,8.42
644.317,8.00
644.802,9.05
645.288,8.00
645.773,8.00
646.258,11.72
646.743,8.90
647.229,8.69
647.714,8.24
648.199,8.13
648.684,8.00
649.17,8.00
649.655,8.22
650.14,8.00
650.625,8.68
651.111,8.00
651.596,8.00
652.081,8.94
652.566,8.15
653.052,9.82
653.537,8.89
654.022,10.53
654.507,8.38
654.992,8.79
655.478,9.80
655.963,10.80
656.448,12.75
656.933,15.52
657.419,19.15
657.904,23.44
658.389,27.99
658.874,32.18
659.36,35.34
659.845,36.90
660.33,36.55
660.815,34.36
661.301,30.75
661.786,26.35
662.271,21.84
662.756,17.75
663.242,14.42
663.727,11.95
664.212,10.27
664.697,9.22
665.183,8.61
665.668,9.42
666.153,8.13
666.638,8.05
667.124,8.02
667.609,8.01
668.094,8.00
668.579,8.17
669.065,8.09
669.55,8.00
670.035,9.30
670.52,8.00
671.006,9.25
671.491,9.02
671.976,8.00
672.461,8.00
672.946,8.00
673.432,8.97
673.917,8.00
674.402,8.24
674.887,8.00
675.373,8.00
675.858,8.00
676.343,8.00
676.828,8.00
677.314,9.93
677.799,8.61
678.284,8.00
678.769,8.00
679.255,8.31
679.74,8.04
680.225,8.00
680.71,8.00
681.196,8.00
681.681,8.50
682.166,9.11
682.651,8.55
683.137,8.42
683.622,8.00
684.107,8.36
684.592,8.00
685.078,8.00
685.563,8.00
686.048,8.58
686.533,9.93
687.019,8.00
687.504,8.00
687.989,8.00
688.474,8.00
688.959,9.36
689.445,9.99
689.93,8.00
690.415,8.00
690.9,8.95
691.386,8.00
691.871,8.00
692.356,9.61
692.841,9.06
693.327,10.39
693.812,8.00
694.297,8.00
694.782,8.00
695.268,8.00
695.753,8.53
696.238,8.00
696.723,8.00
697.209,8.73
697.694,8.00
698.179,8.00
698.664,8.00
699.15,8.48
699.635,8.00
700.12,8.84
700.605,8.00
701.091,11.28
701.576,8.82
702.061,9.30
702.546,8.56
703.032,8.00
703.517,8.00
704.002,10.61
704.487,9.65
704.972,8.21
705.458,8.00
705.943,8.52
706.428,8.00
706.913,8.72
707.399,8.00
707.884,8.00
708.369,8.40
708.854,8.00
709.34,8.83
709.825,8.39
710.31,8.00
710.795,8.00
711.281,8.15
711.766,8.15
712.251,10.46
712.736,9.15
713.222,8.00
713.707,8.00
714.192,8.00
714.677,8.54
715.163,8.00
715.648,8.96
716.133,8.00
716.618,8.00
717.104,8.78
717.589,8.82
718.074,9.82
718.559,8.00
719.045,8.00
719.53,8.00
720.015,8.00
720.5,10.62
720.985,9.70
721.471,8.00
721.956,8.00
722.441,8.00
722.926,8.07
723.412,8.00
723.897,8.00
724.382,8.00
724.867,8.00
725.353,8.00
725.838,8.57
726.323,8.00
726.808,9.36
727.294,8.74
727.779,8.77
728.264,8.02
728.749,9.40
729.235,8.01
729.72,8.47
730.205,9.77
730.69,8.00
731.176,9.27
731.661,8.00
732.146,8.00
732.631,8.00
733.117,8.00
733.602,8.00
734.087,8.00
734.572,8.00
735.058,8.50
735.543,8.00
736.028,8.75
736.513,10.80
736.998,8.50
737.484,8.05
737.969,8.87
738.454,8.00
738.939,8.24
739.425,9.29
739.91,9.40
740.395,9.26
740.88,8.57
741.366,9.84
741.851,8.00
742.336,8.60
742.821,8.86
743.307,8.86
743.792,8.87
744.277,8.00
744.762,8.00
745.248,8.95
745.733,8.00
746.218,8.91
746.703,8.00
747.189,9.85
747.674,8.00
748.159,8.00
748.644,8.15
749.13,9.44
749.615,8.00
750.1,8.06
750.585,8.00
751.071,8.00
751.556,8.22
752.041,8.69
752.526,8.00
753.012,8.00
753.497,8.00
753.982,8.00
754.467,9.78
754.952,9.26
755.438,10.99
755.923,8.00
756.408,8.35
756.893,8.28
757.379,8.00
757.864,9.33
758.349,9.13
758.834,8.63
759.32,8.00
759.805,8.00
760.29,8.12
760.775,8.00
761.261,8.89
761.746,8.00
762.231,8.00
762.716,8.00
763.202,8.00
763.687,10.00
764.172,8.90
764.657,8.00
765.143,8.00
765.628,8.00
766.113,10.33
766.598,8.00
767.084,9.61
767.569,10.11
768.054,8.00
768.539,8.82
769.025,8.00
769.51,9.01
769.995,8.42
770.48,8.25
770.965,8.00
771.451,8.00
771.936,10.85
772.421,8.00
772.906,8.89
773.392,8.96
773.877,9.73
774.362,8.32
774.847,8.00
775.333,9.46
775.818,8.91
776.303,9.39
776.788,8.00
777.274,10.35
777.759,8.00
778.244,10.25
778.729,8.00
779.215,8.00
779.7,8.38
780.185,8.00
780.67,8.21
781.156,8.00
781.641,8.00
782.126,8.75
782.611,8.00
783.097,8.00
783.582,8.00
784.067,8.00
784.552,8.00
785.038,8.72
785.523,8.61
786.008,8.00
786.493,8.28
786.978,8.00
787.464,8.04
787.949,8.68
788.434,8.00
788.919,8.45
789.405,8.00
789.89,8.74
790.375,8.18
790.86,9.61
791.346,8.17
791.831,10.08
792.316,8.00
792.801,8.68
793.287,8.38
793.772,8.68
794.257,8.00
794.742,8.00
795.228,9.53
795.713,8.38
796.198,8.00
796.683,8.00
797.169,8.00
797.654,8.00
798.139,8.00
798.624,8.00
799.11,8.00
799.595,8.08
800.08,8.38
800.565,8.00
801.051,8.00
801.536,8.56
802.021,8.00
802.506,8.00
802.991,8.00
803.477,8.31
803.962,8.01
804.447,9.18
804.932,8.70
805.418,8.00
805.903,8.00
806.388,8.51
806.873,8.87
807.359,8.00
807.844,8.00
808.329,8.70
808.814,8.81
809.3,9.30
809.785,8.00
810.27,8.00
810.755,8.00
811.241,8.00
811.726,8.77
812.211,9.05
812.696,9.10
813.182,8.00
813.667,9.34
814.152,8.00
814.637,8.88
815.123,8.49
815.608,8.00
816.093,8.00
816.578,8.00
817.064,8.00
817.549,8.68
818.034,8.00
818.519,8.38
819.005,8.30
819.49,8.54
819.975,9.58
820.46,8.00
820.945,8.00
821.431,9.18
821.916,8.00
822.401,8.14
822.886,8.00
823.372,8.00
823.857,8.78
824.342,8.00
824.827,8.34
825.313,9.85
825.798,8.32
826.283,8.00
826.768,8.22
827.254,8.00
827.739,9.67
828.224,8.00
828.709,8.47
829.195,8.00
829.68,8.00
830.165,9.14
830.65,8.00
831.136,8.00
831.621,10.09
832.106,9.79
832.591,8.03
833.077,8.13
833.562,8.12
834.047,8.00
834.532,8.00
835.018,8.00
835.503,8.00
835.988,8.00
836.473,8.93
836.958,9.52
837.444,8.05
837.929,9.29
838.414,9.38
838.899,8.00
839.385,8.00
839.87,8.00
840.355,8.17
840.84,8.89
841.326,8.00
841.811,8.00
842.296,8.00
842.781,8.69
843.267,8.00
843.752,9.31
844.237,8.00
844.722,8.00
845.208,9.39
845.693,9.01
846.178,10.04
846.663,8.00
847.149,8.00
847.634,8.56
848.119,8.00
848.604,10.82
849.09,9.22
849.575,9.40
850.06,8.84
850.545,8.00
851.031,8.00
851.516,9.21
852.001,8.71
852.486,8.00
852.971,8.00
853.457,9.76
853.942,8.13
854.427,9.42
854.912,8.20
855.398,8.00
855.883,9.36
856.368,8.54
856.853,8.00
857.339,8.00
857.824,8.14
858.309,8.13
858.794,10.16
859.28,8.00
859.765,8.00
860.25,8.00
860.735,11.26
861.221,8.00
861.706,10.33
862.191,8.00
862.676,8.00
863.162,10.79
863.647,8.00
864.132,9.55
864.617,8.00
865.103,9.17
865.588,8.00
866.073,8.15
866.558,8.00
867.044,8.00
867.529,8.00
868.014,8.00
868.499,8.00
868.984,8.52
